Data, Inadimplencia
03-2011, 3.17
04-2011, 3.24
05-2011, 3.37
06-2011, 3.32
07-2011, 3.42
08-2011, 3.45
09-2011, 3.46
10-2011, 3.58
11-2011, 3.58
12-2011, 3.54
01-2012, 3.66
02-2012, 3.71
03-2012, 3.67
04-2012, 3.76
05-2012, 3.76
06-2012, 3.71
07-2012, 3.72
08-2012, 3.75
09-2012, 3.72
10-2012, 3.76
11-2012, 3.67
12-2012, 3.55
01-2013, 3.54
02-2013, 3.51
03-2013, 3.45
04-2013, 3.47
05-2013, 3.47
06-2013, 3.25
07-2013, 3.21
08-2013, 3.13
09-2013, 3.14
10-2013, 3.06
11-2013, 2.97
12-2013, 2.86
01-2014, 2.84
02-2014, 2.86
03-2014, 2.88
04-2014, 2.92
05-2014, 3.00
06-2014, 2.90
07-2014, 2.96
08-2014, 2.98
09-2014, 2.91
10-2014, 2.96
11-2014, 2.85
12-2014, 2.73
01-2015, 2.82
02-2015, 2.85
03-2015, 2.82
04-2015, 2.96
05-2015, 3.02
06-2015, 2.92
07-2015, 3.03
08-2015, 3.12
09-2015, 3.12
10-2015, 3.24
11-2015, 3.38
12-2015, 3.37
01-2016, 3.47
02-2016, 3.50
03-2016, 3.53
04-2016, 3.65
05-2016, 3.73
06-2016, 3.51
07-2016, 3.56
08-2016, 3.64
09-2016, 3.68
10-2016, 3.84
11-2016, 3.80
12-2016, 3.70
01-2017, 3.73
02-2017, 3.75
03-2017, 3.85
04-2017, 3.93
05-2017, 4.04
06-2017, 3.73
07-2017, 3.69
08-2017, 3.70
09-2017, 3.60
10-2017, 3.63
11-2017, 3.54
12-2017, 3.24
01-2018, 3.42
02-2018, 3.43
03-2018, 3.29
04-2018, 3.32
05-2018, 3.30
06-2018, 3.04
07-2018, 3.02
08-2018, 3.04
09-2018, 3.04
10-2018, 3.05
11-2018, 2.96
12-2018, 2.87
01-2019, 2.95
02-2019, 2.91
03-2019, 2.99
04-2019, 3.02
05-2019, 3.05
06-2019, 2.95
07-2019, 3.06
08-2019, 3.04
09-2019, 3.06
10-2019, 3.03
11-2019, 3.00
12-2019, 2.94
01-2020, 3.00
02-2020, 3.04
03-2020, 3.18
04-2020, 3.30
05-2020, 3.25
06-2020, 2.89
07-2020, 2.77
08-2020, 2.65
09-2020, 2.43
10-2020, 2.36
11-2020, 2.23
12-2020, 2.12
01-2021, 2.15
02-2021, 2.24
03-2021, 2.14
04-2021, 2.20
05-2021, 2.34
06-2021, 2.27
07-2021, 2.31
08-2021, 2.32
09-2021, 2.28
10-2021, 2.28
11-2021, 2.31
12-2021, 2.30
01-2022, 2.45
02-2022, 2.51
03-2022, 2.59
04-2022, 2.66
05-2022, 2.73
06-2022, 2.66
07-2022, 2.78
08-2022, 2.83
09-2022, 2.85
10-2022, 2.96
11-2022, 2.99
12-2022, 2.99
01-2023, 3.16
02-2023, 3.28
03-2023, 3.26
04-2023, 3.44
05-2023, 3.54
06-2023, 3.52
07-2023, 3.54
08-2023, 3.52
09-2023, 3.45
10-2023, 3.47
11-2023, 3.43
12-2023 3.27

